Date,Open,High,Low,Close,Adj Close,Volume
2002-10-25,13.0,13.149999618530273,12.850000381469727,13.010000228881836,7.106607437133789,13965800
2002-10-28,13.010000228881836,13.050000190734863,12.960000038146973,13.010000228881836,7.106607437133789,5505900
2002-10-29,13.0,13.010000228881836,12.039999961853027,12.640000343322754,6.904500961303711,2235800
2002-10-30,12.609999656677246,12.619999885559082,12.130000114440918,12.5,6.828023910522461,905800
2002-10-31,12.5600004196167,13.020000457763672,12.5,12.609999656677246,6.888110637664795,298900
2002-11-01,12.59000015258789,12.699999809265137,12.569999694824219,12.609999656677246,6.888110637664795,268800
2002-11-04,12.65999984741211,12.949999809265137,12.649999618530273,12.90999984741211,7.051983833312988,1307600
2002-11-05,12.90999984741211,13.239999771118164,12.890000343322754,13.020000457763672,7.1120710372924805,2384700
2002-11-06,13.029999732971191,13.199999809265137,13.0,13.0,7.101146697998047,204300
2002-11-07,13.079999923706055,13.15999984741211,12.359999656677246,13.050000190734863,7.1284589767456055,724200
2002-11-08,13.020000457763672,13.029999732971191,12.829999923706055,12.930000305175781,7.062909126281738,106400
2002-11-11,13.0,13.0,12.649999618530273,12.710000038146973,6.9427361488342285,110500
2002-11-12,12.729999542236328,12.739999771118164,11.859999656677246,11.960000038146973,6.533052921295166,540700
2002-11-13,12.050000190734863,12.09000015258789,10.760000228881836,11.100000381469727,6.063286304473877,685600
2002-11-14,11.130000114440918,11.25,10.880000114440918,11.09000015258789,6.057824611663818,462800
2002-11-15,11.100000381469727,11.5600004196167,11.079999923706055,11.550000190734863,6.309096336364746,460700
2002-11-18,11.579999923706055,13.050000190734863,11.569999694824219,12.180000305175781,6.653227806091309,325400
2002-11-19,12.359999656677246,12.800000190734863,12.020000457763672,12.600000381469727,6.882648944854736,211400
2002-11-20,12.5600004196167,12.600000381469727,12.229999542236328,12.40999984741211,6.778862953186035,92700
2002-11-21,12.539999961853027,12.850000381469727,12.539999961853027,12.850000381469727,7.019207954406738,91300
2002-11-22,12.850000381469727,12.859999656677246,12.5,12.649999618530273,6.9099602699279785,55300
2002-11-25,12.800000190734863,13.0,12.65999984741211,12.930000305175781,7.062909126281738,111000
2002-11-26,12.9399995803833,12.9399995803833,12.739999771118164,12.739999771118164,6.959122180938721,59300
2002-11-27,12.899999618530273,12.899999618530273,12.5,12.5,6.828023910522461,94300
2002-11-29,12.779999732971191,12.890000343322754,12.600000381469727,12.819999694824219,7.002823352813721,35400
2002-12-02,12.9399995803833,12.949999809265137,12.350000381469727,12.40999984741211,6.778862953186035,93600
2002-12-03,12.5,12.5,12.3100004196167,12.369999885559082,6.757012844085693,31100
2002-12-04,12.449999809265137,12.600000381469727,12.3100004196167,12.600000381469727,6.882648944854736,42300
2002-12-05,12.850000381469727,13.300000190734863,12.760000228881836,13.279999732971191,7.254094123840332,366100
2002-12-06,13.149999618530273,13.380000114440918,12.989999771118164,13.180000305175781,7.199469566345215,129300
2002-12-09,13.289999961853027,13.300000190734863,12.869999885559082,13.0,7.101146697998047,106900
2002-12-10,13.0,13.1899995803833,12.930000305175781,13.0,7.101146697998047,48300
2002-12-11,13.100000381469727,13.390000343322754,13.020000457763672,13.25,7.237707614898682,189700
2002-12-12,13.390000343322754,13.800000190734863,13.270000457763672,13.739999771118164,7.505362510681152,361400
2002-12-13,13.720000267028809,14.390000343322754,13.529999732971191,13.600000381469727,7.428893089294434,615500
2002-12-16,13.739999771118164,14.069999694824219,13.65999984741211,13.680000305175781,7.47258996963501,170900
2002-12-17,13.90999984741211,13.90999984741211,13.3100004196167,13.479999542236328,7.363341808319092,95100
2002-12-18,13.5,13.59000015258789,13.0600004196167,13.319999694824219,7.275944709777832,110800
2002-12-19,13.5,13.5,12.5,12.75,6.964587211608887,233700
