Date,Open,High,Low,Close,Adj Close,Volume
1989-10-04,2.46875,2.546875,2.4375,2.5,1.673306941986084,20636000
1989-10-05,2.515625,2.625,2.5,2.578125,1.725597620010376,6453600
1989-10-06,2.59375,2.625,2.546875,2.546875,1.704682469367981,2755200
1989-10-09,2.546875,2.546875,2.5,2.546875,1.704682469367981,1084000
1989-10-10,2.5625,2.5625,2.5,2.53125,1.6942238807678223,1493600
1989-10-11,2.5,2.515625,2.46875,2.515625,1.683765172958374,1260000
1989-10-12,2.515625,2.546875,2.515625,2.53125,1.6942238807678223,602400
1989-10-13,2.53125,2.53125,2.46875,2.484375,1.6628488302230835,3970400
1989-10-16,2.375,2.46875,2.375,2.46875,1.6523903608322144,3924800
1989-10-17,2.4375,2.5,2.4375,2.5,1.673306941986084,1843200
1989-10-18,2.5,2.5625,2.484375,2.546875,1.704682469367981,1128000
1989-10-19,2.53125,2.546875,2.53125,2.546875,1.704682469367981,1040000
1989-10-20,2.53125,2.53125,2.515625,2.53125,1.6942238807678223,237600
1989-10-23,2.546875,2.5625,2.546875,2.546875,1.704682469367981,87200
1989-10-24,2.546875,2.5625,2.53125,2.5625,1.7151402235031128,689600
1989-10-25,2.546875,2.578125,2.515625,2.546875,1.704682469367981,608000
1989-10-26,2.546875,2.5625,2.546875,2.546875,1.704682469367981,228800
1989-10-27,2.546875,2.546875,2.5,2.515625,1.683765172958374,456000
1989-10-30,2.515625,2.515625,2.5,2.5,1.673306941986084,250400
1989-10-31,2.5,2.515625,2.5,2.5,1.673306941986084,424800
1989-11-01,2.515625,2.5625,2.515625,2.5625,1.7151402235031128,715200
1989-11-02,2.59375,2.640625,2.59375,2.640625,1.7674301862716675,130400
1989-11-03,2.625,2.75,2.625,2.734375,1.8301801681518555,1118400
1989-11-06,2.71875,2.71875,2.578125,2.578125,1.725597620010376,264800
1989-11-07,2.546875,2.6875,2.5,2.6875,1.7988048791885376,727200
1989-11-08,2.6875,2.71875,2.671875,2.71875,1.819720983505249,236800
1989-11-09,2.71875,2.71875,2.6875,2.6875,1.7988048791885376,60800
1989-11-10,2.6875,2.6875,2.546875,2.5625,1.7151402235031128,210400
1989-11-13,2.5625,2.5625,2.515625,2.546875,1.704682469367981,92800
1989-11-14,2.578125,2.578125,2.484375,2.53125,1.6942238807678223,428000
